URI	Label	Support	True_positives	False_positives	False_negatives	Precision	Recall	F1_score
http://uri.gbv.de/terminology/bk/83.14	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.19	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.20	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.21	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.22	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.29	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.30	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.31	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.32	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.33	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.39	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.40	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.44	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.46	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.48	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.49	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.50	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.52	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.60	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.63	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.64	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.65	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.66	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.67	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.68	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.70	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.71	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.72	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.73	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.79	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/83.99	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.00	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.01	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.02	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.03	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.04	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.05	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.06	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.09	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.10	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.15	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.20	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.25	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.27	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.30	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.32	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.35	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.38	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.40	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.50	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.52	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.62	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.63	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.64	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.69	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/85.99	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.00	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.01	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.02	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.03	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.04	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.05	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.06	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.07	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.08	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.09	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.10	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.11	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.12	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.13	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.14	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.15	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.16	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.17	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.18	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.19	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.20	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.21	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.22	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.23	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.24	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.25	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.26	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.27	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.28	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.29	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.30	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.32	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.33	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.34	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.35	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.36	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.37	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.38	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.39	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.40	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.41	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.42	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.43	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.44	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.45	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.46	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.47	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.48	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.49	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.50	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.51	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.52	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.53	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.54	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.55	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.56	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.57	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.58	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.59	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.60	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.61	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.62	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.63	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.64	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.65	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.66	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.67	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.68	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.69	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.70	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.71	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.72	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.73	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.74	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.75	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.76	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.77	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.78	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.79	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.80	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.81	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.82	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.83	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.84	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.85	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.86	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.88	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.90	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.91	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.92	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.93	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.94	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.95	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.96	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.97	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/86.99	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.00	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.01	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.02	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.03	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.04	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.10	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.11	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.12	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.13	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.14	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.17	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.19	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.20	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.30	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.60	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.70	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/88.99	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.00	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.01	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.03	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.04	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.05	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.10	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.11	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.12	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.13	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.14	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.15	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.19	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.20	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.21	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.22	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.29	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.30	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.31	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.32	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.33	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.34	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.35	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.36	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.37	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.39	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.40	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.41	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.42	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.49	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.50	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.51	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.52	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.53	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.54	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.55	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.56	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.57	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.58	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.59	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.60	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.61	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.62	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.63	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.69	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.70	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.71	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.72	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.73	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.74	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.75	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.76	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.77	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.78	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.79	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.80	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.81	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.82	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.83	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.84	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.85	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.86	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.87	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.89	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.90	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.91	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.92	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.93	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.94	None	0	0	0	0	0.0	0.0	0.0
http://uri.gbv.de/terminology/bk/89.99	None	0	0	0	0	0.0	0.0	0.0
http://uricorn.fly/linsearch#tec	Technik allgemein	2042	1941	28402	101	0.06396862538311966	0.9505386875612145	0.11987031032885594
http://uricorn.fly/linsearch#fer	Werkstoffkunde	1138	1070	7343	68	0.12718411981457267	0.9402460456942003	0.22406030782117053
http://uricorn.fly/linsearch#mas	Maschinenbau, Energietechnik	3022	2886	21279	136	0.11942892613283675	0.9549966909331569	0.21230735277890167
http://uricorn.fly/linsearch#elt	Elektrotechnik	1537	1520	10670	17	0.12469237079573421	0.988939492517892	0.22146135353682525
http://uricorn.fly/linsearch#ver	Verkehrstechnik, Verkehrswesen	1760	1660	14312	100	0.10393188079138492	0.9431818181818182	0.18723212271599368
http://uricorn.fly/linsearch#bau	Bauwesen	2032	1894	17245	138	0.09896023825696222	0.9320866141732284	0.1789239998110623
http://uricorn.fly/linsearch#ber	Bergbau	184	178	22451	6	0.00786601263864952	0.967391304347826	0.015605137421645553
http://uricorn.fly/linsearch#cet	Chemische und Umwelttechnik	3223	3065	14862	158	0.17097116081887656	0.9509773502947564	0.2898345153664303
http://uricorn.fly/linsearch#med	Medizintechnik	305	241	3579	64	0.0630890052356021	0.7901639344262295	0.11684848484848484
http://uricorn.fly/linsearch#arc	Architektur	2805	2688	30074	117	0.08204627312129907	0.9582887700534759	0.15115134815981107
http://uricorn.fly/linsearch#che	Chemie	1799	1691	6714	108	0.20118976799524094	0.9399666481378544	0.3314386515092121
http://uricorn.fly/linsearch#inf	Informatik	2154	2035	16097	119	0.11223251709684536	0.9447539461467038	0.20063097702849253
http://uricorn.fly/linsearch#mat	Mathematik	1761	1623	7795	138	0.17232958165215545	0.9216354344122658	0.29036586456749264
http://uricorn.fly/linsearch#phy	Physik	2358	2313	20488	45	0.10144291917021184	0.9809160305343512	0.18387058309153786
http://uricorn.fly/linsearch#bio	Biowissenschaften, Biologie	1649	1549	10116	100	0.1327903986283755	0.9393571861734384	0.23268739672525166
http://uricorn.fly/linsearch#pae	Erziehungswissenschaften, Fachdidaktiken	5652	5382	22960	270	0.18989485569120035	0.9522292993630573	0.3166441136671177
http://uricorn.fly/linsearch#hor	Gartenbau	1396	1332	20520	64	0.060955518945634266	0.9541547277936963	0.11459050240880936
http://uricorn.fly/linsearch#geo	Geowissenschaften, Geographie	1933	1835	34048	98	0.05113842209402781	0.9493016037247801	0.09704886820393484
http://uricorn.fly/linsearch#his	Geschichte	3445	3260	15701	185	0.17193186013395917	0.9462989840348331	0.2909934838882442
http://uricorn.fly/linsearch#lin	Sprachwissenschaften	1306	1257	10083	49	0.11084656084656085	0.9624808575803981	0.19879803890558279
http://uricorn.fly/linsearch#lit	Literaturwissenschaften	2761	2657	9189	104	0.22429512071585345	0.9623324882289026	0.3637981789552954
http://uricorn.fly/linsearch#phi	Philosophie	1195	1172	21182	23	0.05242909546389908	0.9807531380753138	0.09953713533483376
http://uricorn.fly/linsearch#jur	Rechtswissenschaften	4417	4001	596	416	0.8703502284098324	0.9058184287978266	0.8877301974706011
http://uricorn.fly/linsearch#rel	Religionswissenschaft, Theologie	1426	1386	20759	40	0.06258749153307744	0.9719495091164095	0.11760213822069492
http://uricorn.fly/linsearch#sow	Sozialwissenschaften	6451	5286	12977	1165	0.2894376608443301	0.8194078437451557	0.4277737314882253
http://uricorn.fly/linsearch#spo	Sportwissenschaft	519	484	15931	35	0.029485226926591532	0.9325626204238922	0.05716310381481045
http://uricorn.fly/linsearch#oek	Wirtschaftswissenschaften	5226	3984	7766	1242	0.33906382978723404	0.7623421354764638	0.46936852026390197
http://uricorn.fly/linsearch#rest	Konnte nicht zugeordnet werden.	3733	3469	23882	264	0.1268326569412453	0.9292793999464238	0.22320164714965898
	None	0	0	0	0	0.0	0.0	0.0
